date,spread_spread_3M,spread_z_3M,spread_signal_3M,spread_spread_6M,spread_z_6M,spread_signal_6M,spread_spread_1Y,spread_z_1Y,spread_signal_1Y,spread_spread_2Y,spread_z_2Y,spread_signal_2Y,spread_spread_3Y,spread_z_3Y,spread_signal_3Y,spread_spread_5Y,spread_z_5Y,spread_signal_5Y,spread_spread_7Y,spread_z_7Y,spread_signal_7Y,spread_spread_10Y,spread_z_10Y,spread_signal_10Y,spread_spread_15Y,spread_z_15Y,spread_signal_15Y,spread_spread_20Y,spread_z_20Y,spread_signal_20Y,spread_spread_30Y,spread_z_30Y,spread_signal_30Y,cip_3M,cip_z_3M,cip_signal_3M,cip_6M,cip_z_6M,cip_signal_6M,cip_1Y,cip_z_1Y,cip_signal_1Y,cip_2Y,cip_z_2Y,cip_signal_2Y,cip_3Y,cip_z_3Y,cip_signal_3Y,cip_5Y,cip_z_5Y,cip_signal_5Y,cip_7Y,cip_z_7Y,cip_signal_7Y,cip_10Y,cip_z_10Y,cip_signal_10Y,cip_15Y,cip_z_15Y,cip_signal_15Y,cip_20Y,cip_z_20Y,cip_signal_20Y,cip_30Y,cip_z_30Y,cip_signal_30Y,signal_RU,signal_CN,divergence,z_RU_beta0,z_RU_beta1,z_RU_beta2,z_CN_beta0,z_CN_beta1,z_CN_beta2
2018-01-31,3.3734,,0,3.2102999999999997,,0,3.2799,,0,,,0,3.1836999999999995,,0,3.1063000000000005,,0,3.1975000000000002,,0,3.4259999999999997,,0,3.5097000000000005,,0,3.7908999999999997,,0,4.2153,,0,1.8606,,0,1.6975,,0,1.7671,,0,,,0,1.6709,,0,1.5935,,0,1.6847,,0,1.9132,,0,1.9969,,0,2.2781,,0,2.7025,,0,,,,,,,,,
2018-02-28,2.9375999999999998,,0,2.9355999999999995,,0,3.0286,,0,,,0,2.9672,,0,2.9697,,0,3.0441000000000003,,0,3.3098,,0,3.4643999999999995,,0,3.8155,,0,4.3485,,0,-1.6463,,0,-1.6483,,0,-1.5553,,0,,,0,-1.6167,,0,-1.6142,,0,-1.5398,,0,-1.2741,,0,-1.1195,,0,-0.7684,,0,-0.2354,,0,0.0,0.0,0.0,,,,,,
2018-03-31,3.0287,,0,2.8630000000000004,,0,2.7979000000000003,,0,,,0,2.8202999999999996,,0,2.9491000000000005,,0,3.0898,,0,3.3992999999999998,,0,3.5859999999999994,,0,3.947,,0,4.4651000000000005,,0,-7.8994,,0,-8.0651,,0,-8.1302,,0,,,0,-8.1078,,0,-7.979,,0,-7.8383,,0,-7.5288,,0,-7.3421,,0,-6.9811,,0,-6.463,,0,0.0,0.0,0.0,,,,,,
2018-04-30,3.5509,,0,3.4597999999999995,,0,3.4035,,0,,,0,3.5173,,0,3.6588999999999996,,0,3.5098,,0,3.7483,,0,3.8173000000000004,,0,4.0983,,0,4.4888,,0,-13.4205,,0,-13.5116,,0,-13.5679,,0,,,0,-13.4541,,0,-13.3125,,0,-13.4616,,0,-13.2231,,0,-13.1541,,0,-12.8731,,0,-12.4826,,0,0.0,0.0,0.0,,,,,,
2018-05-31,3.61,,0,3.5702999999999996,,0,3.5212,,0,,,0,3.5982000000000003,,0,3.6317000000000004,,0,3.6417,,0,3.8771000000000004,,0,3.9534,,0,4.1745,,0,4.3839999999999995,,0,-13.0911,,0,-13.1308,,0,-13.1799,,0,,,0,-13.1029,,0,-13.0694,,0,-13.0594,,0,-12.824,,0,-12.7477,,0,-12.5266,,0,-12.3171,,0,0.0,0.0,0.0,,,,,,
2018-06-30,3.6078,0.8563,0,3.5959000000000003,1.0093,0,3.6710000000000003,1.1989,0,,,0,3.9376,1.4237,0,4.1593,1.5431,1,4.1848,1.7086,1,4.3344,1.6809,1,4.106199999999999,1.4097,0,4.0573,0.4917,0,3.8391999999999995,-1.8685,-1,-4.7301,0.2852,0,-4.742,0.2965,0,-4.6669,0.3037,0,,,0,-4.4003,0.3413,0,-4.1786,0.3681,0,-4.1531,0.3633,0,-4.0035,0.3494,0,-4.2317,0.3035,0,-4.2806,0.2563,0,-4.4987,0.1694,0,0.0,0.0,0.0,,,,,,
2018-07-31,4.646800000000001,1.9801,1,4.349500000000001,1.8416,1,4.239,1.7564,1,,,0,4.312200000000001,1.5683,1,4.2951,1.3666,0,4.1598999999999995,1.2799,0,4.328799999999999,1.2879,0,4.165,1.2717,0,4.196199999999999,1.1263,0,4.085000000000001,-0.7529,0,0.5662,0.9712,0,0.2689,0.9475,0,0.1584,0.9255,0,,,0,0.2316,0.9354,0,0.2145,0.931,0,0.0793,0.9037,0,0.2482,0.8964,0,0.0844,0.8712,0,0.1156,0.8454,0,0.0044,0.7887,0,0.0,0.0,0.0,-0.1471,-0.5677,-0.0625,0.9572,-1.5427,1.2231
2018-08-31,4.8395,1.6427,1,4.4582,1.5295,1,4.524900000000001,1.6606,1,,,0,4.8573,1.7408,1,5.1638,1.8469,1,5.1189,1.9345,1,5.224900000000001,1.9545,1,4.944100000000001,2.0688,1,4.8629,2.2095,1,4.545000000000001,1.0428,0,-6.3267,-0.1284,0,-6.708,-0.1704,0,-6.6413,-0.1585,0,,,0,-6.3089,-0.1177,0,-6.0024,-0.081,0,-6.0473,-0.0888,0,-5.9413,-0.1079,0,-6.2221,-0.1559,0,-6.3033,-0.2019,0,-6.6212,-0.2901,0,0.0,0.0,0.0,1.422,-1.5592,1.2914,1.2246,-0.75,1.4217
2018-09-30,4.7965,1.3088,0,4.4811,1.3009,0,4.3043,1.1078,0,,,0,4.6992,1.2655,0,4.903499999999999,1.2628,0,4.929900000000001,1.3629,0,5.079699999999999,1.3999,0,4.8462000000000005,1.4768,0,4.7749999999999995,1.5211,1,4.444999999999999,0.5783,0,-3.9201,0.2728,0,-4.2355,0.2464,0,-4.4123,0.2158,0,,,0,-4.0174,0.2676,0,-3.8131,0.2886,0,-3.7867,0.2914,0,-3.6369,0.2818,0,-3.8704,0.2467,0,-3.9416,0.2064,0,-4.2716,0.121,0,0.0,0.0,0.0,-0.5075,-0.518,-0.5123,0.3887,-0.057,0.834
2018-10-31,5.0788,1.402,0,4.894499999999999,1.5603,1,4.9146,1.6531,1,,,0,5.0905000000000005,1.4686,0,5.1771,1.3441,0,5.1046,1.3384,0,5.1714,1.2984,0,4.923599999999999,1.3583,0,4.8725,1.4559,0,4.6248,1.1849,0,-3.1042,0.3999,0,-3.2885,0.3989,0,-3.2684,0.4036,0,,,0,-3.0925,0.4152,0,-3.0059,0.4156,0,-3.0784,0.4005,0,-3.0116,0.3774,0,-3.2594,0.343,0,-3.3105,0.3093,0,-3.5582,0.2439,0,0.0,0.0,0.0,-0.7269,0.5664,0.0397,-0.3995,0.1557,-0.3294
